,Bedroom,Dinning,Livingroom,Bathroom,Kitchen,bench,snowboard,surfboard,chair,couch,potted plant,bed,dining table,toilet,tv,refrigerator,y_test,y_pred
62881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
77225,0.0,0.0,0.0,0.0,0.0,0.45661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44923,0.76313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
93916,0.0,0.0,0.0,0.87698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8379,0.0,0.94951,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78778,0.75682,0.80261,0.0,0.0,0.0,0.0,0.0,1.0,0.4
89130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52703,0.67032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
63127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90188,0.9382,0.80038,0.0,0.82637,0.0,0.0,0.0,0.0,0.0
101194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25005,0.0,0.0,0.0,1.0,1.0
44771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
65978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50976,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9
100509,0.0,0.0,0.0,0.0,0.0,0.39263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56512,0.0,0.0,0.0,0.0,0.0,1.0
1834,0.0,0.77932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
86709,0.0,0.0,0.0,0.0,0.0,0.0,0.78218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
16024,0.0,0.0,0.0,0.8263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71175,0.0,0.0,0.0,0.0,0.0,0.67554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
19852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859,0.37609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8
115408,0.0,0.81951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
74333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27079,0.0,0.0,0.0,1.0,0.3
25215,0.0,0.77457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
59323,0.0,0.0,0.0,0.8151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
85055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9
62116,0.0,0.0,0.0,0.0,0.0,0.0,0.39154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
9250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49575,0.0,1.0,0.2
96151,0.0,0.0,0.0,0.7868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
85688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
70555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4794,0.0,0.87506,0.0,0.39838,0.0,0.0,0.0,1.0,0.0
58818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89563,0.81241,0.0,0.0,0.0,0.0,0.0,0.0,0.1
91997,0.0,0.0,0.0,0.0,0.0,0.0,0.82602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
109068,0.0,0.0,0.0,0.0,0.0,0.0,0.53746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
100506,0.7628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
82892,0.79724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4
94975,0.0,0.0,0.0,0.0,0.0,0.91431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67528,0.0,0.0,0.0,0.0,0.0,0.60819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106933,0.0,0.0,0.0,0.0,0.0,0.55041,0.0,0.0,0.85865,0.70561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
57197,0.0,0.84119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
64084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58829,0.72611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
102315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87027,0.0,0.0,0.32974,0.0,0.0,0.0,0.0,0.0,1.0
110881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85296,0.0,0.92455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22786,0.0,0.0,0.0,0.0,0.0,0.59948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
73250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
45325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45214,0.0,0.0,0.6
73599,0.0,0.0,0.0,0.0,0.0,0.25767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61331,0.67695,0.0,0.41955,0.0,0.0,0.0,1.0,0.4
21923,0.0,0.81051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
69024,0.0,0.0,0.0,0.0,0.0,0.0,0.68859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39071,0.0,0.0,0.0,0.0,0.0,0.0,0.8587,0.0,1.0,0.4
76393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79328,0.0,0.0,0.0,0.0,1.0,0.4
22398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
47412,0.0,0.0,0.0,0.0,0.78802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86742,0.0,0.0,0.1
56129,0.0,0.0,0.0,0.77652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
39979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90467,0.0,1.0,0.4
28956,0.0,0.0,0.0,0.0,0.0,0.80814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48298,0.0,0.0,0.0,0.76427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4872,0.0,0.0,0.0,1.0,1.0
4119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78383,0.0,0.0,0.0,0.0,1.0,0.9
94589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88046,0.0,0.0,0.0,0.77716,0.0,0.0,0.88324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
105702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88142,0.0,0.0,0.52461,0.0,0.0,0.0,0.0,0.0,0.9
88627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
115359,0.0,0.79922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
97897,0.0,0.0,0.0,0.0,0.0,0.6386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85705,0.77477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
48064,0.0,0.0,0.0,0.0,0.0,0.78806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
76916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83133,0.0,0.0,0.894,0.0,0.0,0.0,0.0,1.0,1.0
10159,0.0,0.0,0.0,0.0,0.0,0.0,0.90433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
27723,0.0,0.0,0.0,0.0,0.0,0.31696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40858,0.0,0.0,0.0,0.0,0.0,0.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59241,0.77206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
8489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70158,0.6291,0.0,0.0,0.0,1.0,0.6
21170,0.0,0.0,0.0,0.0,0.0,0.57963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106369,0.76057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6
87276,0.76995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
29689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87696,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
83822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
112525,0.87998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
12402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
78478,0.0,0.0,0.0,0.0,0.0,0.74532,0.0,0.0,0.0,0.0,0.0,0.0,0.49983,0.0,0.0,0.0,1.0,0.7
68203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47500,0.0,0.0,0.0,0.0,0.0,0.0,0.34921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
15931,0.0,0.8803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
25671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44521,0.0,0.0,0.0,1.0,1.0
75786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84249,0.0,0.0,0.86902,0.0,0.0,0.0,1.0,0.9
4911,0.77135,0.0,0.0,0.0,0.0,0.28956,0.0,0.0,0.0,0.0,0.0,0.72976,0.0,0.0,0.0,0.0,0.0,0.1
63274,0.0,0.77819,0.0,0.0,0.0,0.0,0.0,0.0,0.82455,0.87778,0.0,0.88899,0.0,0.0,0.0,0.0,1.0,0.5
116922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
74115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81437,0.0,0.81437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30916,0.0,0.0,0.0,0.0,0.0,0.79819,0.0,0.0,0.38176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
37093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52278,0.69438,0.38138,0.0,0.0,0.0,0.0,0.0,0.0,0.2
76608,0.80465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7978,0.0,0.82761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
66490,0.0,0.78818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
69412,0.0,0.0,0.0,0.85279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76156,0.8168,0.0,0.0,0.0,0.0,0.0,0.65053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
55162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
96778,0.0,0.0,0.0,0.0,0.0,0.0,0.41774,0.0,0.70421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3
20986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58232,0.0,0.80843,0.0,1.0,0.9
73634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93963,0.0,0.0,0.0,0.0,1.0,1.0
27044,0.0,0.80132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
1472,0.0,0.0,0.0,0.88382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41439,0.0,0.0,0.0,0.0,0.0,0.0,0.87022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
86924,0.0,0.0,0.0,0.0,0.0,0.0,0.87467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
40996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41571,0.0,0.0,0.0,1.0,1.0
93810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
33299,0.0,0.0,0.0,0.0,0.0,0.64167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7
68751,0.0,0.0,0.0,0.0,0.0,0.0,0.74177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
74685,0.0,0.0,0.0,0.0,0.0,0.0,0.84705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87397,0.0,1.0,0.3
101385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
61721,0.0,0.0,0.85206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385,0.0,1.0,0.6
379,0.0,0.0,0.0,0.0,0.0,0.0,0.90909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
114298,0.0,0.0,0.0,0.0,0.0,0.0,0.89668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
108196,0.0,0.0,0.0,0.0,0.0,0.0,0.92183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
17259,0.86678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
89199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85009,0.0,0.5301,0.0,0.0,0.0,0.0,0.0,1.0,0.1
105777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
95551,0.0,0.0,0.0,0.0,0.0,0.77445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67712,0.0,0.0,0.71066,0.0,0.0,0.0,1.0,0.4
70620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44084,0.0,0.0,0.0,0.0,1.0,1.0
69000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70754,0.0,0.0,0.0,1.0,1.0
8959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39557,0.0,0.0,0.0,1.0,1.0
1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
95569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
56601,0.0,0.79749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96201,0.0,0.0,0.0,0.0,0.0,0.0,0.92777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33606,0.0,0.0,0.0,0.0,1.0
99969,0.76691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1
113995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2
13707,0.0,0.0,0.0,0.0,0.0,0.80204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
77595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90375,0.0,0.0,0.0,0.0,0.2
86423,0.0,0.0,0.0,0.0,0.0,0.86271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70509,0.0,0.0,0.0,0.0,0.0,0.0,0.86837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
4978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74545,0.0,0.0,0.0,0.0,1.0,0.3
14758,0.0,0.0,0.0,0.0,0.0,0.0,0.91337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
96686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94954,0.0,0.0,0.0,0.0,1.0,1.0
56965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81606,0.0,0.0,0.0,1.0,1.0
87816,0.0,0.0,0.0,0.0,0.0,0.85202,0.0,0.0,0.82849,0.82849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
36787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25517,0.0,0.0,0.0,1.0,1.0
45713,0.0,0.0,0.0,0.76451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48739,0.0,0.76276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
103107,0.0,0.0,0.77517,0.0,0.0,0.7331,0.0,0.0,0.0,0.60054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
80992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29445,0.0,0.0,0.0,1.0,1.0
92787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81663,0.0,0.0,0.0,0.0,1.0,0.8
5746,0.0,0.0,0.0,0.0,0.0,0.37124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8611,0.0,0.0,0.0,1.0,1.0
32630,0.0,0.0,0.0,0.0,0.0,0.0,0.83044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
5899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
30545,0.0,0.0,0.0,0.79213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
109680,0.0,0.0,0.0,0.80278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44103,0.0,0.0,0.5
95935,0.0,0.0,0.0,0.0,0.0,0.5361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
101762,0.0,0.0,0.0,0.0,0.0,0.78244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925,0.0,0.0,1.0
70663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93545,0.0,0.0,0.1
104092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
102442,0.0,0.0,0.0,0.0,0.0,0.56708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
66267,0.0,0.0,0.0,0.76594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33362,0.9407,0.0,0.0,0.0,1.0,0.7
88222,0.82981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60476,0.0,0.0,0.0,0.0,1.0
100344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78079,0.89506,0.88542,0.0,0.5006,0.0,0.0,0.0,0.0,0.1
